ID;Title;Description;Vendor;Type;Tags;Price
shampoo-for-sensible-hairs-smooth-902274192;Shampoo for sensible hairs (SMOOTH);"<p dir=""ltr"" data-mce-style=""line-height: 1.3800000000000001; text-align: justify; margin: 0pt 12.5pt 0pt 6pt;"" style=""color: rgb(0, 0, 0); font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; line-height: 1.38; text-align: justify; margin: 0pt 12.5pt 0pt 6pt;""><br class=""Apple-interchange-newline""></p><p dir=""ltr"" data-mce-style=""line-height: 1.3800000000000001; text-align: justify; margin: 0pt 12.5pt 0pt 6pt;"" style=""color: rgb(0, 0, 0); font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; line-height: 1.38; text-align: justify; margin: 0pt 12.5pt 0pt 6pt;""><span data-mce-style=""font-size: 11pt; font-family: Arial; color: #000000; background-color: transparent; font-weight: bold; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"" style=""font-size: 11pt; font-family: Arial; color: rgb(0, 0, 0); background-color: transparent; font-weight: bold; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">Delicacy, harmony and balance in its purest form - that's Smooth. Great hair is all about balance, but it all starts with a healthy scalp. Smooth </span><span data-mce-style=""font-size: 11pt; font-family: Arial; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"" style=""font-size: 11pt; font-family: Arial; color: rgb(0, 0, 0); background-color: transparent; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">is a </span><span data-mce-style=""font-size: 11pt; font-family: Arial; color: #000000; background-color: transparent; font-weight: bold; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"" style=""font-size: 11pt; font-family: Arial; color: rgb(0, 0, 0); background-color: transparent; font-weight: bold; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">shampoo for sensitive scalps </span><span data-mce-style=""font-size: 11pt; font-family: Arial; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"" style=""font-size: 11pt; font-family: Arial; color: rgb(0, 0, 0); background-color: transparent; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">with soothing, antioxidant and antiseptic active ingredients that reduce itchiness, dryness and irritation. Its delicate formula works by gently cleansing and soothing active irritation processes. It is specially designed for scalps prone to flaking.</span></p><p style=""color: rgb(0, 0, 0); font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial;""><b id=""docs-internal-guid-b5b9deae-7fff-6f93-55d2-f6b1b45d8662"" data-mce-style=""font-weight: normal;"" style=""font-weight: normal;""> </b></p><p dir=""ltr"" data-mce-style=""line-height: 1.3800000000000001; text-align: justify; margin: 0pt 12.45pt 0pt 6pt;"" style=""color: rgb(0, 0, 0); font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; line-height: 1.38; text-align: justify; margin: 0pt 12.45pt 0pt 6pt;""><span data-mce-style=""font-size: 11pt; font-family: Arial; color: #000000; background-color: transparent; font-weight: bold; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"" style=""font-size: 11pt; font-family: Arial; color: rgb(0, 0, 0); background-color: transparent; font-weight: bold; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">Its plant-based technologies based on soothing oils, calendula, burdock, camomile and xylitol harmonise the hair microbiota. Its </span><span data-mce-style=""font-size: 11pt; font-family: Arial; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"" style=""font-size: 11pt; font-family: Arial; color: rgb(0, 0, 0); background-color: transparent; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">use is designed to treat both dry dandruff and oily dandruff. In addition, its formula is indicated in cases of mild dermatitis, such as hair irritations.</span></p><p style=""color: rgb(0, 0, 0); font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial;""><b data-mce-style=""font-weight: normal;"" style=""font-weight: normal;""><br></b></p><p dir=""ltr"" data-mce-style=""line-height: 1.3800000000000001; text-align: justify; margin: 0pt 12.85pt 0pt 6pt;"" style=""color: rgb(0, 0, 0); font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; line-height: 1.38; text-align: justify; margin: 0pt 12.85pt 0pt 6pt;""><span data-mce-style=""font-size: 11pt; font-family: Arial; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"" style=""font-size: 11pt; font-family: Arial; color: rgb(0, 0, 0); background-color: transparent; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">100 grams | Sulfate, silicone and paraben free shampoo | Suitable for pregnant women | Suitable for scalps with atopic dermatitis | Cruelty free and vegan | 100% natural ingredients </span><span data-mce-style=""font-size: 11pt; font-family: Arial; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"" style=""font-size: 11pt; font-family: Arial; color: rgb(0, 0, 0); background-color: transparent; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">| 100% natural ingredients</span></p><p style=""color: rgb(0, 0, 0); font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial;""><br></p><p style=""color: rgb(0, 0, 0); font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial;""><span data-mce-style=""font-size: 11pt; font-family: Arial; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"" style=""font-size: 11pt; font-family: Arial; color: rgb(0, 0, 0); background-color: transparent; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;""> </span></p>";Jade Eos;Haircare;Natural, organic;15.29
shampoo-for-sensible-hairs-smooth-902274192;;;;;;
stretch-velvet-turban-955209178;Stretch Velvet Turban;"<ul class=""tabNav"">
<!-- ENTER TABS NAMES BELLOW -->
<li><a href=""#tab-1"">Product Description</a></li>
<li><a href=""#tab-2"">Shipping</a></li>
<li><a href=""#tab-3"">Care</a></li>
</ul>
<div id=""tab-1"">
<!-- FIRST TAB CONTENT BELLOW --><meta charset=""utf-8"">
<p><span>A gorgeous stretch velvet covers the top of the head in this full turban. Cinched at back for comfort and a perfect fit.</span></p>
<p><span>-Stretch velvet 90% polyester 10% lycra</span></p>
<p><span>-Stretches to fit 21""-24""</span></p>
<p><span>-Made in USA</span></p>
<p><span> </span></p>
<!-- END FIRST TAB CONTENT -->
</div>
<br>
<div id=""tab-2"">
<!-- SECOND TAB CONTENT BELLOW -->Free Shipping within the USA: No matter where you are sending your order, we also offer express shipping across the globe. <a href="""" target=""_blank"" title=""shipping and Delivery"" rel=""noopener noreferrer"">Shipping Details.</a><!-- END SECOND TAB CONTENT -->
</div>
<br>
<div id=""tab-3"">Professional Dry Clean<!-- END THIRD TAB CONTENT -->
</div>
<div id=""tab-4""></div>";Cyan Ismene;Haircare;Beanie, Clothing, Hair, Turban;21.78
stretch-velvet-turban-955209178;;;;;;21.78
stretch-velvet-turban-955209178;;;;;;28.38
stretch-velvet-turban-955209178;;;;;;21.78
stretch-velvet-turban-955209178;;;;;;
stretch-velvet-turban-955209178;;;;;;
stretch-velvet-turban-955209178;;;;;;
stretch-velvet-turban-955209178;;;;;;
